,cases,controls,case_samples,control_samples
0,0.007584269662921347,0.0007987220447284345,JKLR,101086
1,0.005576208178438661,0.002730064839039928,FLAB,102801
2,0.004004805766920304,0.002531901964755925,JGLR,100626
3,0.0014821571086535172,0.0025101260767870386,JFGH,101425
4,0.006920415224913493,0.002520743619367714,GKHG,145355
5,0.002041742286751361,0.0049470935825202695,JHPP,100296
6,0.0005065856129685916,0.0017729239061059507,WHPA,101599
7,0.004962779156327542,0.003211991434689508,HKLP,106732
8,0.0030134445989800657,0.00497512437810945,FQTR,106853
9,0.001646090534979424,0.003907053259304955,JUTM,109195
10,0.00200160128102482,0.004409603135717784,TFLK,109286
11,0.006463527239150508,0.004990403071017275,JQRT,109336
12,0.004464760284894228,0.0038399353274050116,WQHT,110164
13,0.004298941798941799,0.0031514347321280494,QWID,113493
14,0.0026860059092130005,0.006470325747434181,QWER,114250
15,0.005398539218799619,0.0034860557768924302,POIU,121203
16,0.006896551724137929,0.004082390053813324,ASDF,121274
17,0.012685914260717409,0.00448765893792072,GFUR,123154
18,0.010296010296010296,0.003977131493910018,ZXCV,123874
19,0.008132726089785297,0.002598246183825918,HJKL,124110
20,0.006716238906212521,0.004051172707889127,REWQ,127216
21,0.0066666666666666645,0.0033184005309440856,SDFG,128141
22,0.006499837504062397,0.003906954378794254,XCVB,129125
23,0.00752634219769192,0.003366074384725748,JGIS,129499
24,0.004798146922567838,0.002156960345113655,WWZX,130752
25,0.0008682439765574128,0.0040531271434807005,KRUK,131004
26,,0.004701784936874184,,139606
27,,0.003653983636508062,,103971
28,,0.0026495079485238456,,101997
29,,0.005653170359052711,,102073
30,,0.006755555555555553,,106401
31,,0.0050279329608938555,,106136
32,,0.010416666666666666,,109837
33,,0.007449450159631077,,121624
34,,0.0027372262773722633,,102060
35,,0.002325130788606859,,103782
36,,0.006455777921239511,,114482
37,,0.0031272552321385616,,109604
38,,0.010526315789473684,,101968
39,,0.0017716535433070868,,102919
40,,0.004455760661998726,,100654
